id,cliente_id,data,status
1,2145,2025-01-05,pendente
2,571,2025-03-11,entregue
3,2307,2025-02-13,pago
4,2307,2025-02-10,enviado
5,332,2025-03-04,enviado
6,1462,2025-04-04,pago
7,1917,2025-03-20,enviado
8,176,2025-04-17,enviado
9,423,2025-03-14,pendente
10,2557,2025-03-04,pendente
11,1256,2025-02-22,enviado
12,2377,2025-02-22,enviado
13,740,2025-01-14,pendente
14,2692,2025-06-01,entregue
15,1659,2025-04-23,entregue
16,2593,2025-02-03,pago
17,375,2025-01-26,entregue
18,1093,2025-01-27,entregue
19,1770,2025-02-25,entregue
20,1544,2025-05-02,pago
21,1759,2025-05-29,pago
22,1738,2025-05-29,pago
23,1097,2025-02-05,pendente
24,561,2025-03-14,entregue
25,1319,2025-01-07,enviado
26,1194,2025-04-28,entregue
27,1408,2025-02-26,pago
28,665,2025-01-06,entregue
29,523,2025-05-16,enviado
30,898,2025-04-19,entregue
31,633,2025-04-08,pendente
32,2199,2025-02-02,cancelado
33,2477,2025-01-07,entregue
34,2987,2025-04-23,enviado
35,714,2025-05-16,pendente
36,2708,2025-05-23,enviado
37,669,2025-03-16,enviado
38,1460,2025-03-22,pendente
39,461,2025-01-23,entregue
40,1320,2025-02-01,enviado
41,1269,2025-02-16,enviado
42,7,2025-05-16,pago
43,2697,2025-03-30,enviado
44,2620,2025-03-04,pago
45,696,2025-05-24,cancelado
46,652,2025-01-28,entregue
47,987,2025-01-17,pendente
48,2921,2025-05-08,cancelado
49,1064,2025-04-16,pendente
50,209,2025-03-03,entregue
51,366,2025-04-30,entregue
52,1900,2025-04-21,entregue
53,2717,2025-03-01,pago
54,2896,2025-05-23,pago
55,237,2025-01-04,pendente
56,620,2025-05-02,pendente
57,1656,2025-01-26,cancelado
58,385,2025-03-04,enviado
59,336,2025-01-18,cancelado
60,2379,2025-03-17,pendente
61,889,2025-02-26,enviado
62,1651,2025-03-04,pago
63,2176,2025-02-13,entregue
64,2879,2025-03-12,enviado
65,1384,2025-03-31,pago
66,2650,2025-02-05,entregue
67,1069,2025-04-10,pago
68,663,2025-02-09,pendente
69,866,2025-03-31,cancelado
70,1465,2025-02-14,entregue
71,2698,2025-01-12,pendente
72,1360,2025-04-18,cancelado
73,1739,2025-05-03,enviado
74,1879,2025-05-16,pendente
75,574,2025-03-22,enviado
76,719,2025-03-20,entregue
77,927,2025-01-10,pago
78,267,2025-04-08,pago
79,1803,2025-02-22,entregue
80,408,2025-03-22,enviado
81,921,2025-01-16,pendente
82,1321,2025-03-01,pago
83,817,2025-01-05,pago
84,2527,2025-04-11,cancelado
85,1289,2025-05-22,entregue
86,1407,2025-04-11,cancelado
87,2612,2025-04-12,entregue
88,2066,2025-05-08,enviado
89,1213,2025-02-22,pendente
90,2552,2025-01-15,cancelado
91,739,2025-02-05,enviado
92,802,2025-03-06,cancelado
93,2247,2025-05-26,pendente
94,1278,2025-01-15,entregue
95,713,2025-05-15,pendente
96,199,2025-05-24,entregue
97,2172,2025-05-12,cancelado
98,2300,2025-03-22,cancelado
99,2306,2025-02-07,cancelado
100,2700,2025-02-28,entregue
101,1720,2025-04-23,enviado
102,2492,2025-04-10,enviado
103,929,2025-04-21,enviado
104,2025,2025-03-14,pago
105,2129,2025-02-16,pendente
106,1974,2025-03-25,pago
107,6,2025-03-10,pendente
108,2302,2025-03-30,pendente
109,567,2025-03-11,pendente
110,226,2025-03-31,enviado
111,1278,2025-03-27,pago
112,257,2025-02-27,pendente
113,942,2025-03-05,pago
114,1474,2025-03-30,entregue
115,2661,2025-01-28,cancelado
116,2538,2025-04-11,enviado
117,1716,2025-05-18,pago
118,1607,2025-01-31,pendente
119,2443,2025-05-13,pago
120,2331,2025-04-04,pendente
